experiment,system,eval_domain,k,seed,n_test,mean_macro_f1,f1_MI,ci_low_MI,ci_high_MI,f1_ML,ci_low_ML,ci_high_ML,f1_PG,ci_low_PG,ci_high_PG,f1_AC,ci_low_AC,ci_high_AC,ece_mean,max_shortcut_gap
d,tfidf_math_plus_k,programming,16,3,162,0.29620231359001803,0.3075808249721293,0.23687186349949818,0.3967556100995081,0.24,0.20512321660181584,0.2687792272416269,0.3192531374349556,0.23501625449901314,0.42670283442349605,0.3179752919529871,0.27632405554544903,0.36012655463048615,0.153175244686007,-0.4666331129458486
d,tfidf_math_plus_k,programming,16,4,162,0.2914064353862379,0.2964627261205208,0.23924097179955367,0.36396855802171413,0.23848238482384823,0.2014640324214792,0.26769842167331703,0.2610899873257288,0.2366325369738339,0.2867442854091006,0.36959064327485375,0.29258060636130595,0.4678203885250421,0.17446499512207625,-0.37281113437819446
d,tfidf_math_plus_k,programming,32,0,162,0.3117481201524835,0.30913799482056975,0.23799333942664516,0.3759621389539422,0.2814929873452419,0.21478426430554873,0.363657139738753,0.2910720212412878,0.24073058167885755,0.36761685107978087,0.3652894772028346,0.29725108225108227,0.41970049565050765,0.2018416488655129,-0.42070083618886484
d,tfidf_math_plus_k,programming,32,1,162,0.29143311068211797,0.2805421794185839,0.24052287581699347,0.330342576526787,0.2504199422159511,0.21070794524888203,0.2795857479010888,0.265179677819083,0.24073906939430403,0.2908696451553594,0.36959064327485375,0.29333333333333333,0.4667580475105434,0.20155877096507113,-0.38581255458442526
d,tfidf_math_plus_k,programming,32,2,162,0.31912241477255265,0.30983050847457627,0.2443694590558702,0.36417796626568294,0.2414698162729659,0.20549175627240146,0.26984264293952875,0.3823321914855257,0.2887838723776224,0.4776295229959022,0.3428571428571428,0.25608741158130727,0.40941798941798935,0.1160238421751902,-0.5373307812110957
d,tfidf_math_plus_k,programming,32,3,162,0.28586628534083547,0.26368159203980096,0.2331258562153791,0.2857219662058371,0.2414698162729659,0.20671567685309755,0.2712484187223276,0.27106227106227104,0.24875424464976706,0.29429734302830746,0.36725146198830405,0.28809285714285715,0.4746388277380297,0.1814643970993769,-0.2837992855863144
d,tfidf_math_plus_k,programming,32,4,162,0.30148405105966924,0.3067193675889328,0.2421458523486382,0.3682711234128525,0.2414698162729659,0.20537124802527648,0.26976928755998525,0.26666666666666666,0.243210566132402,0.2902342389411355,0.3910803537101115,0.2965669347849637,0.4997963648866175,0.18020990981606044,-0.4929738887829224
d,tfidf_math_plus_k,programming,64,0,162,0.2765519510345579,0.30963795668705574,0.23808691308691313,0.39541105845350294,0.22764227642276424,0.1929016201444466,0.2547176202894104,0.2696078431372549,0.24793288977732691,0.2922003803063008,0.29931972789115646,0.2832796281314704,0.3132537669474892,0.17346181292987625,-0.3966407396075835
d,tfidf_math_plus_k,programming,64,1,162,0.2953019792353846,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.2855166963050781,0.228870286771696,0.32478503863457303,0.27106227106227104,0.24836434573829533,0.2947854839146814,0.3609473575343882,0.2876818333571804,0.5295207729468596,0.1607772779587499,0.332835810378524
d,tfidf_math_plus_k,programming,64,2,162,0.34227462551721427,0.29445145018915514,0.23717422150636602,0.34304803408478796,0.2663802363050483,0.20903842704690162,0.3298453635597885,0.41043771043771043,0.31316769635864533,0.5186533929084781,0.3978291051369431,0.2935108077360637,0.48233851361972946,0.16840066861732503,-0.4642839049766053
d,tfidf_math_plus_k,programming,64,3,162,0.2842902592273565,0.26368159203980096,0.2331258562153791,0.2857219662058371,0.2414698162729659,0.20671567685309755,0.2712484187223276,0.27106227106227104,0.24875424464976706,0.29429734302830746,0.3609473575343882,0.28487250926277097,0.542450398819161,0.1486687548470875,-0.22530232126366861
d,tfidf_math_plus_k,programming,64,4,162,0.3077927333063901,0.26368159203980096,0.23284389037648334,0.2863276299112801,0.2414698162729659,0.20537124802527648,0.26976928755998525,0.32334087481146306,0.25156809181966416,0.43552296040648064,0.4026786501013306,0.29326047358834245,0.5296213762854739,0.15470080619235493,-0.2780962941309225
d,tfidf_math_plus_k,programming,8,0,162,0.28947901252284414,0.25013107481347047,0.21246722504513949,0.29097273831360354,0.3672238191561092,0.2749224457459752,0.4368712776360483,0.24561403508771928,0.2089189284490923,0.281069924296489,0.29494712103407755,0.24136860151020437,0.34069260700049786,0.11224447957482378,-0.45063058746954676
d,tfidf_math_plus_k,programming,8,1,162,0.29285650396600976,0.3005042386159688,0.23457936836759244,0.35770200091766907,0.3164440953129091,0.2295068086643534,0.3828692819071899,0.2501758087201125,0.1936208195399372,0.32383975331137166,0.3043018732150487,0.24463048627044628,0.3649405356914007,0.13633257386825348,-0.58336766748966
d,tfidf_math_plus_k,programming,8,2,162,0.29172569550057836,0.2963496377877401,0.2342353909842908,0.35466923908775194,0.3197324414715719,0.21851407083939836,0.4051620817557814,0.3017754217828268,0.2184542051469232,0.40683111379196907,0.24904528096017456,0.1911091050281499,0.30251221782105586,0.0593258893319434,-0.41179698063190756
d,tfidf_math_plus_k,programming,8,3,162,0.311899066834414,0.3448280423280423,0.2650503239807342,0.42715131779262505,0.3257764490948348,0.24409060846560846,0.39011638339337984,0.3144440399627877,0.2404290918424714,0.4064867635920266,0.26254773595199127,0.20241159514588059,0.31883242970049835,0.08599685647365601,-0.5399472266377756
d,tfidf_math_plus_k,programming,8,4,162,0.2891508064667799,0.27359796268615405,0.21052631578947367,0.3249144407783578,0.350316169828365,0.27388376427067335,0.4048155355510479,0.2540455147090218,0.19466431524025757,0.315068639240016,0.27864357864357864,0.21266336229811728,0.33452879614534897,0.0779166495054307,-0.4887509174166398
e,tfidf_prog_only,programming,0,0,162,0.14747202743237506,0.26368159203980096,0.23076679340937895,0.2853968848908879,0.2414698162729659,0.20621468926553674,0.27125152323551693,0.04597701149425287,0.008266105042716763,0.07921184975640419,0.03875968992248062,0.009130866958655611,0.07070848146267139,0.2716049382716049,
e,tfidf_prog_only,programming,0,1,162,0.14747202743237506,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.2414698162729659,0.20851016536076913,0.27083498677248674,0.04597701149425287,0.00854297693920336,0.07974650133656805,0.03875968992248062,0.00876908179539759,0.07265151515151515,0.2716049382716049,
e,tfidf_prog_only,programming,0,2,162,0.14747202743237506,0.26368159203980096,0.2332153237761267,0.2861284270269003,0.2414698162729659,0.20549175627240146,0.26984264293952875,0.04597701149425287,0.005374210616146104,0.07826513213981243,0.03875968992248062,0.009007497430316225,0.07197669428272874,0.2716049382716049,
e,tfidf_prog_only,programming,0,3,162,0.14747202743237506,0.26368159203980096,0.2331258562153791,0.2857219662058371,0.2414698162729659,0.20671567685309755,0.2712484187223276,0.04597701149425287,0.006346239430351586,0.07810536012535081,0.03875968992248062,0.008492569002123142,0.07143193435566314,0.2716049382716049,
